area_id,name_en,name_ka,level,code,parent_id,parent_name_en,parent_name_ka,voters_total,lat,lon
22,Marneuli,მარნეული,dis,GE-D22,4,Kvemo Kartli,ქვემო ქართლი,98777,41.36760541721975,44.83528032244984
23,Bolnisi,ბოლნისი,dis,GE-D23,4,Kvemo Kartli,ქვემო ქართლი,57974,41.37835883234721,44.51679433132822
24,Dmanisi,დმანისი,dis,GE-D24,4,Kvemo Kartli,ქვემო ქართლი,22940,41.34912952734889,44.13495106905477
25,Tsalka,წალკა,dis,GE-D25,4,Kvemo Kartli,ქვემო ქართლი,24210,41.622011833447,43.97140460502564
26,Tetritskaro,თეთრიწყარო,dis,GE-D26,4,Kvemo Kartli,ქვემო ქართლი,21906,41.60436324842139,44.47029172498191
27,Mtskheta,მცხეთა,dis,GE-D27,3,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,44274,41.86495152222893,44.70405227398699
28,Dusheti,დუშეთი,dis,GE-D28,3,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,26408,42.37668810279084,44.866661937493156
29,Kazbegi,ყაზბეგი,dis,GE-D29,3,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,5788,42.612511008394094,44.533424139535114
30,Kaspi,კასპი,dis,GE-D30,5,Shida Kartli,შიდა ქართლი,40358,41.8867757142481,44.37035667506855
32,Gori,გორი,dis,GE-D32,NA,NA,NA,112205,41.962281791949415,44.06941765676972
33,Kareli,ქარელი,dis,GE-D33,5,Shida Kartli,შიდა ქართლი,37597,41.986132269674094,43.83213742922787
35,Khashuri,ხაშური,dis,GE-D35,5,Shida Kartli,შიდა ქართლი,50345,42.013927902712204,43.61623273161297
36,Borjomi,ბორჯომი,dis,GE-D36,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,27597,41.77567562677594,43.4888550329502
37,Akhaltsikhe,ახალციხე,dis,GE-D37,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,36451,41.640740115536815,43.018699291330755
38,Adigeni,ადიგენი,dis,GE-D38,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,15718,41.716682238148465,42.71858501329744
40,Akhalkalaki,ახალქალაქი,dis,GE-D40,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,41000,41.43445315423854,43.46077726067624
41,Ninotsminda,ნინოწმინდა,dis,GE-D41,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,22825,41.297015219961594,43.71672258298349
43,Oni,ონი,dis,GE-D43,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,6829,42.66624523601319,43.486774830331065
44,Ambrolauri,ამბროლაური,dis,GE-D44,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,11985,42.57104852691266,43.12087175917024
45,Tsageri,ცაგერი,dis,GE-D45,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,11969,42.62680655453424,42.792112327808574
46,Lentekhi,ლენტეხი,dis,GE-D46,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,5948,42.81959343521217,42.84394900571095
47,Mestia,მესტია,dis,GE-D47,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,8441,43.01993201091069,42.47239785599124
51,Zestaponi,ზესტაფონი,dis,GE-D51,8,Imereti,იმერეთი,57084,42.13376147144466,43.04883829977703
49,Terjola,თერჯოლა,dis,GE-D49,8,Imereti,იმერეთი,34719,42.232462653064005,42.92798373151552
